filter,persistence,hold,top_k,pct_of_total_bhar,mean_bhar_excl
bullish_plus,,30d,1,2.745530397103294,0.017142395830682108
bullish_plus,,30d,2,4.857056363665548,0.016783616695293005
bullish_plus,,30d,3,6.870725079722201,0.016441539755112332
bullish_plus,,30d,5,10.678488265705555,0.015794568207699367
bullish_plus,,30d,8,15.023176675906196,0.015062512444090704
strong_buy,,180d,1,5.024590648644478,0.23352386358165209
strong_buy,,180d,2,9.597027989190863,0.2248361919156075
strong_buy,,180d,3,14.107839402494522,0.21610152994927642
strong_buy,,180d,5,22.263772608202498,0.20023820314323285
strong_buy,,180d,8,32.16741536056049,0.18119913156736345
bullish_plus,,180d,1,1.6514375517725575,0.10909856934214585
bullish_plus,,180d,2,3.2744293537643245,0.10748253726353084
bullish_plus,,180d,3,4.873146321583719,0.10588796314699495
bullish_plus,,180d,5,7.629094603156962,0.10317541651748605
bullish_plus,,180d,8,11.470663714821589,0.09939952725202797
bullish_plus,,90d,1,1.6847199320805075,0.06027715381637691
bullish_plus,,90d,2,3.296064567474893,0.059345170751979495
bullish_plus,,90d,3,4.641589348386058,0.0585747096606628
bullish_plus,,90d,5,6.7744219184235,0.05737295230224647
bullish_plus,,90d,8,9.793715489782135,0.05567282829297879
