family,lookback,hold,signal,outcome,outcome_column,candidate_signals,incomplete_trades,overlap_skipped,drop_reasons,testable,mean,t,p,n,g,median,positive_rate,stock_fell_rate,underperformed_spy_rate,ci_low,ci_high,holm_p,bh_p,discovered_rule
persistence,6mo,90d,strong_sell_only,spy_hedged_short,spy_hedged_short_return,10,0,0,{},False,-0.12259428444497415,,,10,10,-0.10405630108292774,0.5,0.4,0.5,,,,,False
persistence,6mo,180d,strong_sell_only,raw_short,raw_short_return,10,0,0,{},False,-0.1558632144819954,,,10,10,-0.1837307994414381,0.3,0.3,0.4,,,,,False
persistence,6mo,180d,strong_sell_only,spy_hedged_short,spy_hedged_short_return,10,0,0,{},False,-0.010744215479901975,,,10,10,-0.03335224368908429,0.4,0.3,0.4,,,,,False
persistence,12mo,30d,sell_or_strong_sell,raw_short,raw_short_return,4,0,0,{},False,-0.2011796353374753,,,4,4,-0.16083375964210123,0.0,0.0,0.0,,,,,False
persistence,12mo,30d,sell_or_strong_sell,spy_hedged_short,spy_hedged_short_return,4,0,0,{},False,-0.18969941763394785,,,4,4,-0.15229108403350183,0.0,0.0,0.0,,,,,False
persistence,12mo,90d,sell_or_strong_sell,raw_short,raw_short_return,4,1,0,"{""incomplete_horizon"": 1}",False,-0.6254708714465903,,,3,3,-0.3743793445878847,0.0,0.0,0.0,,,,,False
persistence,12mo,90d,sell_or_strong_sell,spy_hedged_short,spy_hedged_short_return,4,1,0,"{""incomplete_horizon"": 1}",False,-0.5720038034741483,,,3,3,-0.3124854584703656,0.0,0.0,0.0,,,,,False
persistence,12mo,180d,sell_or_strong_sell,raw_short,raw_short_return,4,2,0,"{""incomplete_horizon"": 2}",False,-0.4014032270508141,,,2,2,-0.4014032270508141,0.5,0.5,0.5,,,,,False
persistence,12mo,180d,sell_or_strong_sell,spy_hedged_short,spy_hedged_short_return,4,2,0,"{""incomplete_horizon"": 2}",False,-0.3829739754551735,,,2,2,-0.3829739754551735,0.5,0.5,0.5,,,,,False
persistence,12mo,30d,strong_sell_only,raw_short,raw_short_return,0,0,0,{},False,,,,0,0,,,,,,,,,False
persistence,12mo,30d,strong_sell_only,spy_hedged_short,spy_hedged_short_return,0,0,0,{},False,,,,0,0,,,,,,,,,False
persistence,12mo,90d,strong_sell_only,raw_short,raw_short_return,0,0,0,{},False,,,,0,0,,,,,,,,,False
persistence,12mo,90d,strong_sell_only,spy_hedged_short,spy_hedged_short_return,0,0,0,{},False,,,,0,0,,,,,,,,,False
persistence,12mo,180d,strong_sell_only,raw_short,raw_short_return,0,0,0,{},False,,,,0,0,,,,,,,,,False
persistence,12mo,180d,strong_sell_only,spy_hedged_short,spy_hedged_short_return,0,0,0,{},False,,,,0,0,,,,,,,,,False
persistence,18mo,30d,sell_or_strong_sell,raw_short,raw_short_return,0,0,0,{},False,,,,0,0,,,,,,,,,False
persistence,18mo,30d,sell_or_strong_sell,spy_hedged_short,spy_hedged_short_return,0,0,0,{},False,,,,0,0,,,,,,,,,False
persistence,18mo,90d,sell_or_strong_sell,raw_short,raw_short_return,0,0,0,{},False,,,,0,0,,,,,,,,,False
persistence,18mo,90d,sell_or_strong_sell,spy_hedged_short,spy_hedged_short_return,0,0,0,{},False,,,,0,0,,,,,,,,,False
persistence,18mo,180d,sell_or_strong_sell,raw_short,raw_short_return,0,0,0,{},False,,,,0,0,,,,,,,,,False
persistence,18mo,180d,sell_or_strong_sell,spy_hedged_short,spy_hedged_short_return,0,0,0,{},False,,,,0,0,,,,,,,,,False
persistence,18mo,30d,strong_sell_only,raw_short,raw_short_return,0,0,0,{},False,,,,0,0,,,,,,,,,False
persistence,18mo,30d,strong_sell_only,spy_hedged_short,spy_hedged_short_return,0,0,0,{},False,,,,0,0,,,,,,,,,False
persistence,18mo,90d,strong_sell_only,raw_short,raw_short_return,0,0,0,{},False,,,,0,0,,,,,,,,,False
persistence,18mo,90d,strong_sell_only,spy_hedged_short,spy_hedged_short_return,0,0,0,{},False,,,,0,0,,,,,,,,,False
persistence,18mo,180d,strong_sell_only,raw_short,raw_short_return,0,0,0,{},False,,,,0,0,,,,,,,,,False
persistence,18mo,180d,strong_sell_only,spy_hedged_short,spy_hedged_short_return,0,0,0,{},False,,,,0,0,,,,,,,,,False
