top_k,pct_of_total_outcome,mean_outcome_excl
1,7.424380280279722,-0.14007838148124244
2,14.0659469434423,-0.13071323078601385
3,19.942411101094574,-0.12241892358296885
5,28.806899669399222,-0.11002823691610168
8,38.40458409891651,-0.09674720413478548
