filter,persistence,hold,observed_mean,random_median,random_p5,random_p95,empirical_p,simulations
bullish_plus,,30d,0.017612264833229162,0.016268712787920032,0.012821487434720774,0.020118510917758944,0.26786606696651677,2000
strong_buy,,180d,0.243115561725776,0.12161657316564439,0.08831107751601323,0.16275463661375342,0.0004997501249375312,2000
bullish_plus,,180d,0.11074056804922039,0.11372512283114154,0.10014030450703537,0.12888086999595783,0.6466766616691654,2000
bullish_plus,,90d,0.061252325809550305,0.04596222185352464,0.03901683258886534,0.05347426110436546,0.0004997501249375312,2000
