family,filter,persistence,hold,candidate_signals,incomplete_trades,drop_reasons,outcome,testable,mean_return,median_return,mean_spy_return,mean_excess_spy,beat_spy_rate,mean_pool_return,mean_excess_pool,beat_pool_rate,absolute_loss_rate,mean,t,p,n,g,ci_low,ci_high,holm_p,bh_p,discovered_rule
rating_trust,bullish_plus,,30d,1347,94,"{""incomplete_horizon"": 60, ""missing_benchmark_price"": 32, ""no_next_session"": 2}",bhar,True,0.030233134575910453,0.02317629170819413,0.012620869742681293,0.017612264833229162,0.5985634477254589,,,,0.2928970470869912,0.017612264833229162,7.58459081618937,0.0002,1253,263,0.013387220020928162,0.022444233110179235,0.0012000000000000001,0.00030000000000000003,True
rating_trust,strong_buy,,180d,337,248,"{""incomplete_horizon"": 239, ""missing_benchmark_price"": 8, ""no_next_session"": 1}",bhar,True,0.32590777054554354,0.2654802961615874,0.08279220881976751,0.243115561725776,0.8089887640449438,,,,0.0898876404494382,0.243115561725776,5.52384636967176,0.0002,89,33,0.15715982109628926,0.3266436037693492,0.0012000000000000001,0.00030000000000000003,True
rating_trust,bullish_plus,,180d,1347,763,"{""incomplete_horizon"": 714, ""missing_benchmark_price"": 47, ""no_next_session"": 2}",bhar,True,0.18068099564452042,0.15129267744254393,0.06994042759530004,0.11074056804922039,0.8698630136986302,,,,0.059931506849315065,0.11074056804922039,9.25784753997809,0.0002,584,182,0.08817364394226367,0.1358755675128748,0.0012000000000000001,0.00030000000000000003,True
rating_trust,bullish_plus,,90d,1347,285,"{""incomplete_horizon"": 252, ""missing_benchmark_price"": 31, ""no_next_session"": 2}",bhar,True,0.11638219787112365,0.08617244325519047,0.05512987206157335,0.061252325809550305,0.7033898305084746,,,,0.07532956685499058,0.061252325809550305,9.285339689660043,0.0002,1062,240,0.04871830599486196,0.07425491756364029,0.0012000000000000001,0.00030000000000000003,True
rating_trust,strong_buy,,90d,337,124,"{""incomplete_horizon"": 111, ""missing_benchmark_price"": 12, ""no_next_session"": 1}",bhar,True,0.0702712870665294,0.014382456461763393,0.06696046309653708,0.0033108239699923096,0.4460093896713615,,,,0.4647887323943662,0.0033108239699923096,0.16434979835715144,0.8704,213,72,-0.03610329859985957,0.04116358476800165,1.0,0.9892,False
rating_trust,strong_buy,,30d,337,57,"{""incomplete_horizon"": 45, ""missing_benchmark_price"": 11, ""no_next_session"": 1}",bhar,True,0.026425796994643664,0.01537474085237922,0.02654886033617259,-0.00012306334152892523,0.45357142857142857,,,,0.4714285714285714,-0.00012306334152892523,-0.015369634342654693,0.9892,280,86,-0.016289198207534782,0.01507506559200353,1.0,0.9892,False
