family,filter,persistence,hold,candidate_signals,incomplete_trades,drop_reasons,outcome,testable,mean_return,median_return,mean_spy_return,mean_excess_spy,beat_spy_rate,mean_pool_return,mean_excess_pool,beat_pool_rate,absolute_loss_rate,mean,t,p,n,g,ci_low,ci_high,holm_p,bh_p,discovered_rule
persistence,bullish_plus,30d,30d,458,71,"{""incomplete_horizon"": 45, ""missing_benchmark_price"": 17, ""no_next_session"": 9}",excess_pool,True,0.043398221738450794,0.027516635002049483,0.021453352833390494,0.021944868905060304,0.6330749354005168,0.031009341491606834,0.012388880246843962,0.5219638242894057,0.23255813953488372,0.012388880246843962,3.589452966306496,0.0004,387,254,0.005851932614507091,0.019677353364661632,0.009600000000000001,0.009600000000000001,True
persistence,bullish_plus,90d,180d,253,163,"{""incomplete_horizon"": 155, ""missing_benchmark_price"": 8}",excess_pool,True,0.2542691416754962,0.12392019332781257,0.08155328721363655,0.17271585446185964,0.7888888888888889,0.1825288581038519,0.07174028357164429,0.3888888888888889,0.022222222222222223,0.07174028357164429,2.4970290483645488,0.014,90,86,0.017343389312671327,0.1312459974109716,0.322,0.168,False
persistence,bullish_plus,60d,30d,318,32,"{""incomplete_horizon"": 24, ""missing_benchmark_price"": 8}",excess_pool,True,0.015140855797090106,0.013503895658859566,0.014778254416364218,0.0003626013807258891,0.534965034965035,0.02218234248923081,-0.0070414866921407054,0.4370629370629371,0.3531468531468531,-0.0070414866921407054,-2.301916519098234,0.0246,286,223,-0.013213508962562804,-0.0011207098674608144,0.5412,0.1968,False
persistence,bullish_plus,60d,90d,318,133,"{""incomplete_horizon"": 126, ""missing_benchmark_price"": 7}",excess_pool,True,0.06660924941185549,0.051217163519842845,0.04191718858909593,0.02469206082275955,0.6486486486486487,0.08015344559900399,-0.013544196187148494,0.4486486486486487,0.16756756756756758,-0.013544196187148494,-1.7989843982498013,0.0714,185,158,-0.027828477766261316,0.0012730040354195682,1.0,0.3648,False
persistence,strong_buy,60d,30d,24,3,"{""incomplete_horizon"": 3}",excess_pool,True,-0.029056559663564543,0.00380331431676173,-0.008451677157083747,-0.020604882506480796,0.47619047619047616,-0.011858108948063037,-0.017198450715501506,0.2857142857142857,0.47619047619047616,-0.017198450715501506,-1.628434281050214,0.0866,21,17,-0.0403836559904202,-0.00036704877419563216,1.0,0.3648,False
persistence,strong_buy,30d,90d,46,16,"{""incomplete_horizon"": 11, ""missing_benchmark_price"": 5}",excess_pool,True,0.16727665243913953,0.17049262173398028,0.03244522640183314,0.13483142603730638,0.8,0.10605306237712722,0.06122359006201232,0.6333333333333333,0.2,0.06122359006201232,1.6411818029295773,0.0912,30,20,0.0010146035095716685,0.15229991589713945,1.0,0.3648,False
persistence,strong_buy,30d,30d,46,5,"{""incomplete_horizon"": 4, ""missing_benchmark_price"": 1}",excess_pool,True,0.07413435522156606,0.09155811443326889,0.007879611077874363,0.06625474414369169,0.7073170731707317,0.05957452028704965,0.014559834934516416,0.5853658536585366,0.3170731707317073,0.014559834934516416,1.4753013976327607,0.1486,41,29,-0.0028268866592826873,0.0361242770366981,1.0,0.5094857142857143,False
persistence,bullish_plus,30d,90d,458,172,"{""incomplete_horizon"": 134, ""missing_benchmark_price"": 29, ""no_next_session"": 9}",excess_pool,True,0.08899418886564323,0.07145943752086481,0.057658332564278277,0.031335856301364956,0.6818181818181818,0.08496786493570016,0.0040263239299430705,0.5034965034965035,0.14335664335664336,0.0040263239299430705,0.6963972557067866,0.4956,286,210,-0.0071508374261040125,0.015518397101737734,1.0,1.0,False
persistence,bullish_plus,90d,30d,253,55,"{""incomplete_horizon"": 29, ""missing_benchmark_price"": 26}",excess_pool,True,0.02040516584658051,0.016777892394031158,0.009923040770284578,0.010482125076295928,0.6111111111111112,0.017693088667125205,0.0027120771794553037,0.46464646464646464,0.37373737373737376,0.0027120771794553037,0.6787993392149086,0.501,198,169,-0.004913240172608284,0.010412373872859837,1.0,1.0,False
persistence,bullish_plus,180d,30d,142,6,"{""incomplete_horizon"": 3, ""missing_benchmark_price"": 3}",excess_pool,True,0.008190302155889378,-0.006563757547688953,0.005877416588084653,0.0023128855678047244,0.4117647058823529,0.011321193661667086,-0.0031308915057777086,0.35294117647058826,0.5220588235294118,-0.0031308915057777086,-0.6835036061705478,0.5042,136,132,-0.011687182480178802,0.006330259877303967,1.0,1.0,False
persistence,bullish_plus,60d,180d,318,203,"{""incomplete_horizon"": 199, ""missing_benchmark_price"": 4}",excess_pool,True,0.17957595206645083,0.14347139527093988,0.077415576612069,0.1021603754543818,0.8,0.171314373522925,0.008261578543525824,0.45217391304347826,0.05217391304347826,0.008261578543525824,0.6150208171029654,0.5398,115,103,-0.016811898931081624,0.03531933751187922,1.0,1.0,False
persistence,strong_buy,30d,180d,46,23,"{""incomplete_horizon"": 23}",excess_pool,True,0.20517359195035115,0.0597399367304865,0.07721037989640891,0.12796321205394226,0.34782608695652173,0.21685911213668466,-0.01168552018633347,0.43478260869565216,0.30434782608695654,-0.01168552018633347,-0.5292230394903471,0.616,23,15,-0.052897625417091546,0.032180958415173905,1.0,1.0,False
persistence,bullish_plus,180d,180d,142,51,"{""incomplete_horizon"": 49, ""missing_benchmark_price"": 2}",excess_pool,True,0.14269079827770734,0.07390752139401968,0.059728220983684036,0.0829625772940233,0.7142857142857143,0.15335210131584445,-0.010661303038137131,0.2967032967032967,0.03296703296703297,-0.010661303038137131,-0.5092957582018511,0.6206,91,91,-0.0449757066061666,0.03312128175040807,1.0,1.0,False
persistence,bullish_plus,180d,90d,142,24,"{""incomplete_horizon"": 18, ""missing_benchmark_price"": 6}",excess_pool,True,0.08555530262513271,0.02308461039509857,0.03712727956080252,0.048428023064330195,0.5254237288135594,0.09161472572771386,-0.00605942310258116,0.2966101694915254,0.2457627118644068,-0.00605942310258116,-0.45381679327416125,0.6568,118,117,-0.031139964988789924,0.019165256760575615,1.0,1.0,False
persistence,bullish_plus,90d,90d,253,123,"{""incomplete_horizon"": 121, ""missing_benchmark_price"": 2}",excess_pool,True,0.08209548703578078,0.05362973730087839,0.03956428622665569,0.04253120080912508,0.5461538461538461,0.08022180200889972,0.0018736850268810394,0.36923076923076925,0.2,0.0018736850268810394,0.1918395332093768,0.847,130,119,-0.016175639773052326,0.021650342014873352,1.0,1.0,False
persistence,bullish_plus,30d,180d,458,310,"{""incomplete_horizon"": 295, ""missing_benchmark_price"": 6, ""no_next_session"": 9}",excess_pool,True,0.1469857304665882,0.12953865695779987,0.05943763675955269,0.08754809370703552,0.7972972972972973,0.14816302499478035,-0.0011772945281921438,0.40540540540540543,0.07432432432432433,-0.0011772945281921438,-0.09276967912611847,0.926,148,120,-0.025682354183872082,0.024317607565689785,1.0,1.0,False
